N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,FH 132/IR 6 (PAKISTAN),ITA 306,288,in standardized format,"ITA 306",IR 2307-247-2-2-3,289,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
FH 132/IR 6 (PAKISTAN)"
N/A,SARO 5/IR10C112,FH 132,290,in standardized format,"FH 132",IR 72,291,in standardized format,"IR 72
SARO 5/IR10C112"
N/A,SARO 5/IR10C114,SARO 5,292,in standardized format,"SARO 5",IR10C112,293,in standardized format,"IR10C112
SARO 5/IR10C114"
N/A,SR 26 B/IR10C126,SARO 5,294,in standardized format,"SARO 5",IR10C114,295,in standardized format,"IR10C114
SR 26 B/IR10C126"
N/A,SR 26 B/IR10C135,SR 26 B,296,in standardized format,"SR 26 B",IR10C126,297,in standardized format,"IR10C126
SR 26 B/IR10C135"
N/A,SUPA/IR10C140,SR 26 B,298,in standardized format,"SR 26 B",IR10C135,299,in standardized format,"IR10C135
SUPA/IR10C140"
N/A,SUPA/IR10C141,SUPA,300,in standardized format,"SUPA",IR10C140,301,in standardized format,"IR10C140
SUPA/IR10C141"
N/A,SWARNA/IR10C144,SUPA,302,in standardized format,"SUPA",IR10C141,303,in standardized format,"IR10C141
SWARNA/IR10C144"
N/A,SWARNA/CENTAURO,SWARNA,304,in standardized format,"SWARNA",IR10C144,305,in standardized format,"IR10C144
SWARNA/CENTAURO"
N/A,TCCP 266-1-3B-13-1-3/COLOMBIA XXI,SWARNA,306,in standardized format,"SWARNA",CENTAURO,307,in standardized format,"CENTAURO
TCCP 266-1-3B-13-1-3/COLOMBIA XXI"
N/A,NONA BOKRA/FEDEARROZ 2000,NONA BOKRA,308,in standardized format,"NONA BOKRA",DULAR,309,in standardized format,"DULAR
NONA BOKRA/FEDEARROZ 2000"
N/A,NONA BOKRA/FEDEARROZ 21,NONA BOKRA,310,in standardized format,"NONA BOKRA",FEDEARROZ 2000,311,in standardized format,"FEDEARROZ 2000
NONA BOKRA/FEDEARROZ 21"
N/A,IR11T213/FEDEARROZ 473,NONA BOKRA,312,in standardized format,"NONA BOKRA",FEDEARROZ 21,313,in standardized format,"FEDEARROZ 21
IR11T213/FEDEARROZ 473"
N/A,IR11T213/FEDEARROZ MOCARE,IR11T213,314,in standardized format,"IR11T213",FEDEARROZ 473,315,in standardized format,"FEDEARROZ 473
IR11T213/FEDEARROZ MOCARE"
N/A,IR11T213/GIZA 178,IR11T213,316,in standardized format,"IR11T213",FEDEARROZ MOCARE,317,in standardized format,"FEDEARROZ MOCARE
IR11T213/GIZA 178"
N/A,IR11T189/IDSA 77,IR11T213,318,in standardized format,"IR11T213",GIZA 178,319,in standardized format,"GIZA 178
IR11T189/IDSA 77"
N/A,IR11T189/IR 2006-P12-12-2-2,IR11T189,320,in standardized format,"IR11T189",IDSA 77,321,in standardized format,"IDSA 77
IR11T189/IR 2006-P12-12-2-2"
N/A,IR11T189/IR 2307-247-2-2-3,IR11T189,322,in standardized format,"IR11T189",IR 2006-P12-12-2-2,323,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
N/A,IR 85891-9-2-1-AJY 1-B/IR 6 (PAKISTAN),IR11T189,324,in standardized format,"IR11T189",IR 2307-247-2-2-3,325,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
IR 85891-9-2-1-AJY 1-B/IR 6 (PAKISTAN)"
N/A,IR 85891-9-2-1-AJY 1-B/IR 72,IR 85891-9-2-1-AJY 1-B,326,in standardized format,"IR 85891#IR 85891-9#IR 85891-9-2#IR 85891-9-2-1#IR 85891-9-2-1-AJY 1#IR 85891-9-2-1-AJY 1-B",IR 6 (PAKISTAN),327,in standardized format,"IR 6 (PAKISTAN)
IR 85891-9-2-1-AJY 1-B/IR 72"
N/A,IR 85891-9-2-1-AJY 1-B/IR10C112,IR 85891-9-2-1-AJY 1-B,328,in standardized format,"IR 85891#IR 85891-9#IR 85891-9-2#IR 85891-9-2-1#IR 85891-9-2-1-AJY 1#IR 85891-9-2-1-AJY 1-B",IR 72,329,in standardized format,"IR 72
IR 85891-9-2-1-AJY 1-B/IR10C112"
N/A,IR 85891-B-B-AJY 1-B/IR10C114,IR 85891-9-2-1-AJY 1-B,330,in standardized format,"IR 85891#IR 85891-9#IR 85891-9-2#IR 85891-9-2-1#IR 85891-9-2-1-AJY 1#IR 85891-9-2-1-AJY 1-B",IR10C112,331,in standardized format,"IR10C112
IR 85891-B-B-AJY 1-B/IR10C114"
N/A,IR 85891-B-B-AJY 1-B/IR10C126,IR 85891-B-B-AJY 1-B,332,in standardized format,"IR 85891#IR 85891-B#IR 85891-B-B#IR 85891-B-B-AJY 1#IR 85891-B-B-AJY 1-B",IR10C114,333,in standardized format,"IR10C114
IR 85891-B-B-AJY 1-B/IR10C126"
N/A,IR 85891-B-B-AJY 1-B/IR10C135,IR 85891-B-B-AJY 1-B,334,in standardized format,"IR 85891#IR 85891-B#IR 85891-B-B#IR 85891-B-B-AJY 1#IR 85891-B-B-AJY 1-B",IR10C126,335,in standardized format,"IR10C126
IR 85891-B-B-AJY 1-B/IR10C135"
N/A,IR 84649-97-3-1-B-B/IR10C140,IR 85891-B-B-AJY 1-B,336,in standardized format,"IR 85891#IR 85891-B#IR 85891-B-B#IR 85891-B-B-AJY 1#IR 85891-B-B-AJY 1-B",IR10C135,337,in standardized format,"IR10C135
IR 84649-97-3-1-B-B/IR10C140"
N/A,IR 84649-97-3-1-B-B/IR10C141,IR 84649-97-3-1-B-B,338,in standardized format,"IR 84649#IR 84649-97#IR 84649-97-3#IR 84649-97-3-1#IR 84649-97-3-1-B#IR 84649-97-3-1-B-B",IR10C140,339,in standardized format,"IR10C140
IR 84649-97-3-1-B-B/IR10C141"
N/A,IR 84649-97-3-1-B-B/IR10C144,IR 84649-97-3-1-B-B,340,in standardized format,"IR 84649#IR 84649-97#IR 84649-97-3#IR 84649-97-3-1#IR 84649-97-3-1-B#IR 84649-97-3-1-B-B",IR10C141,341,in standardized format,"IR10C141
IR 84649-97-3-1-B-B/IR10C144"
N/A,IR11T153/CENTAURO,IR 84649-97-3-1-B-B,342,in standardized format,"IR 84649#IR 84649-97#IR 84649-97-3#IR 84649-97-3-1#IR 84649-97-3-1-B#IR 84649-97-3-1-B-B",IR10C144,343,in standardized format,"IR10C144
IR11T153/CENTAURO"
N/A,IR11T153/COLOMBIA XXI,IR11T153,344,in standardized format,"IR11T153",CENTAURO,345,in standardized format,"CENTAURO
IR11T153/COLOMBIA XXI"
N/A,IR11T153/DASAN,IR11T153,346,in standardized format,"IR11T153",COLOMBIA XXI,347,in standardized format,"COLOMBIA XXI
IR11T153/DASAN"
N/A,IR 85891-B-B-AJY 1-B-1-BAY B/DULAR,IR11T153,348,in standardized format,"IR11T153",DASAN,349,in standardized format,"DASAN
IR 85891-B-B-AJY 1-B-1-BAY B/DULAR"
N/A,IR 85891-B-B-AJY 1-B-1-BAY B/FEDEARROZ 2000,IR 85891-B-B-AJY 1-B-1-BAY B,350,"IR 85891-B-B-AJY 1-B-1-BAY B^	;string pattern not recognized. #",N/A,DULAR,351,in standardized format,"DULAR
IR 85891-B-B-AJY 1-B-1-BAY B/FEDEARROZ 2000"
N/A,IR 85891-B-B-AJY 1-B-1-BAY B/FEDEARROZ 21,IR 85891-B-B-AJY 1-B-1-BAY B,352,"IR 85891-B-B-AJY 1-B-1-BAY B^	;string pattern not recognized. #",N/A,FEDEARROZ 2000,353,in standardized format,"FEDEARROZ 2000
IR 85891-B-B-AJY 1-B-1-BAY B/FEDEARROZ 21"
N/A,IR11T222/FEDEARROZ 473,IR 85891-B-B-AJY 1-B-1-BAY B,354,"IR 85891-B-B-AJY 1-B-1-BAY B^	;string pattern not recognized. #",N/A,FEDEARROZ 21,355,in standardized format,"FEDEARROZ 21
IR11T222/FEDEARROZ 473"
N/A,IR11T222/FEDEARROZ MOCARE,IR11T222,356,in standardized format,"IR11T222",FEDEARROZ 473,357,in standardized format,"FEDEARROZ 473
IR11T222/FEDEARROZ MOCARE"
N/A,IR11T222/GIZA 178,IR11T222,358,in standardized format,"IR11T222",FEDEARROZ MOCARE,359,in standardized format,"FEDEARROZ MOCARE
IR11T222/GIZA 178"
N/A,POKKALI/IDSA 77,IR11T222,360,in standardized format,"IR11T222",GIZA 178,361,in standardized format,"GIZA 178
POKKALI/IDSA 77"
N/A,POKKALI/IR 2006-P12-12-2-2,POKKALI,362,in standardized format,"POKKALI",IDSA 77,363,in standardized format,"IDSA 77
POKKALI/IR 2006-P12-12-2-2"
N/A,POKKALI/IR 2307-247-2-2-3,POKKALI,364,in standardized format,"POKKALI",IR 2006-P12-12-2-2,365,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
N/A,IR10C145/IR 68450-36-3-2-2-3,POKKALI,366,in standardized format,"POKKALI",IR 2307-247-2-2-3,367,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
IR10C145/IR 68450-36-3-2-2-3"
N/A,IR10L411/IR 69428-6-1-1-3-3,IR10C145,368,in standardized format,"IR10C145",IR 68450-36-3-2-2-3,369,in standardized format,"IR 68450#IR 68450-36#IR 68450-36-3#IR 68450-36-3-2#IR 68450-36-3-2-2#IR 68450-36-3-2-2-3
IR10L411/IR 69428-6-1-1-3-3"
N/A,IR10L411/IR 69807-13-2-1,IR10L411,370,in standardized format,"IR10L411",IR 69428-6-1-1-3-3,371,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3
IR10L411/IR 69807-13-2-1"
N/A,IR10L411/IR 70114-5-3-3-3,IR10L411,372,in standardized format,"IR10L411",IR 69807-13-2-1,373,in standardized format,"IR 69807#IR 69807-13#IR 69807-13-2#IR 69807-13-2-1
IR10L411/IR 70114-5-3-3-3"
N/A,IR10L411/IR 01W102,IR10L411,374,in standardized format,"IR10L411",IR 70114-5-3-3-3,375,in standardized format,"IR 70114#IR 70114-5#IR 70114-5-3#IR 70114-5-3-3#IR 70114-5-3-3-3
IR10L411/IR 01W102"
N/A,BG 90-2/IRRI 145,IR10L411,376,in standardized format,"IR10L411",IR 01W102,377,"IR ^01W102	;unexpected space is found#IR 01W102	;string pattern not recognized #",N/A
N/A,BG 90-2/IR 71146-97-1-2-1-3,BG 90-2,378,in standardized format,"BG 90#BG 90-2",IRRI 145,379,in standardized format,"IRRI 145
BG 90-2/IR 71146-97-1-2-1-3"
N/A,BG 90-2/IR 71676-90-2-2,BG 90-2,380,in standardized format,"BG 90#BG 90-2",IR 71146-97-1-2-1-3,381,in standardized format,"IR 71146#IR 71146-97#IR 71146-97-1#IR 71146-97-1-2#IR 71146-97-1-2-1#IR 71146-97-1-2-1-3
BG 90-2/IR 71676-90-2-2"
N/A,BG 90-2/IR 71701-28-1-4,BG 90-2,382,in standardized format,"BG 90#BG 90-2",IR 71676-90-2-2,383,in standardized format,"IR 71676#IR 71676-90#IR 71676-90-2#IR 71676-90-2-2
BG 90-2/IR 71701-28-1-4"
N/A,IR 45912-9-1-2-2/IR 72164-348-6-2-2-2,BG 90-2,384,in standardized format,"BG 90#BG 90-2",IR 71701-28-1-4,385,in standardized format,"IR 71701#IR 71701-28#IR 71701-28-1#IR 71701-28-1-4
IR 45912-9-1-2-2/IR 72164-348-6-2-2-2"
N/A,IR 45912-9-1-2-2/IR 72225-20-3-2-3,IR 45912-9-1-2-2,386,in standardized format,"IR 45912#IR 45912-9#IR 45912-9-1#IR 45912-9-1-2#IR 45912-9-1-2-2",IR 72164-348-6-2-2-2,387,in standardized format,"IR 72164#IR 72164-348#IR 72164-348-6#IR 72164-348-6-2#IR 72164-348-6-2-2#IR 72164-348-6-2-2-2
IR 45912-9-1-2-2/IR 72225-20-3-2-3"
N/A,IR 45912-9-1-2-2/IR 72870-19-2-2-3,IR 45912-9-1-2-2,388,in standardized format,"IR 45912#IR 45912-9#IR 45912-9-1#IR 45912-9-1-2#IR 45912-9-1-2-2",IR 72225-20-3-2-3,389,in standardized format,"IR 72225#IR 72225-20#IR 72225-20-3#IR 72225-20-3-2#IR 72225-20-3-2-3
IR 45912-9-1-2-2/IR 72870-19-2-2-3"
N/A,IR 45912-9-1-2-2/IR 72875-94-3-3-2,IR 45912-9-1-2-2,390,in standardized format,"IR 45912#IR 45912-9#IR 45912-9-1#IR 45912-9-1-2#IR 45912-9-1-2-2",IR 72870-19-2-2-3,391,in standardized format,"IR 72870#IR 72870-19#IR 72870-19-2#IR 72870-19-2-2#IR 72870-19-2-2-3
IR 45912-9-1-2-2/IR 72875-94-3-3-2"
N/A,IR 02W101/IR 72903-121-2-1-2,IR 45912-9-1-2-2,392,in standardized format,"IR 45912#IR 45912-9#IR 45912-9-1#IR 45912-9-1-2#IR 45912-9-1-2-2",IR 72875-94-3-3-2,393,in standardized format,"IR 72875#IR 72875-94#IR 72875-94-3#IR 72875-94-3-3#IR 72875-94-3-3-2
IR 02W101/IR 72903-121-2-1-2"
N/A,IR 02W101/IR 72967-12-2-3,IR 02W101,394,"IR ^02W101	;unexpected space is found#IR 02W101	;string pattern not recognized #",N/A,IR 72903-121-2-1-2,395,in standardized format,"IR 72903#IR 72903-121#IR 72903-121-2#IR 72903-121-2-1#IR 72903-121-2-1-2
IR 02W101/IR 72967-12-2-3"
N/A,IR 02W101/IR 72969-143-5-3-6-2,IR 02W101,396,"IR ^02W101	;unexpected space is found#IR 02W101	;string pattern not recognized #",N/A,IR 72967-12-2-3,397,in standardized format,"IR 72967#IR 72967-12#IR 72967-12-2#IR 72967-12-2-3
IR 02W101/IR 72969-143-5-3-6-2"
N/A,IR 02W101/IR 73006-12-3-3-2,IR 02W101,398,"IR ^02W101	;unexpected space is found#IR 02W101	;string pattern not recognized #",N/A,IR 72969-143-5-3-6-2,399,in standardized format,"IR 72969#IR 72969-143#IR 72969-143-5#IR 72969-143-5-3#IR 72969-143-5-3-6#IR 72969-143-5-3-6-2
IR 02W101/IR 73006-12-3-3-2"
N/A,IR 64680-81-2-2-1-3/IR 73012-137-2-2-2,IR 02W101,400,"IR ^02W101	;unexpected space is found#IR 02W101	;string pattern not recognized #",N/A,IR 73006-12-3-3-2,401,in standardized format,"IR 73006#IR 73006-12#IR 73006-12-3#IR 73006-12-3-3#IR 73006-12-3-3-2
IR 64680-81-2-2-1-3/IR 73012-137-2-2-2"
N/A,IR 64680-81-2-2-1-3/IR 00A115,IR 64680-81-2-2-1-3,402,in standardized format,"IR 64680#IR 64680-81#IR 64680-81-2#IR 64680-81-2-2#IR 64680-81-2-2-1#IR 64680-81-2-2-1-3",IR 73012-137-2-2-2,403,in standardized format,"IR 73012#IR 73012-137#IR 73012-137-2#IR 73012-137-2-2#IR 73012-137-2-2-2
IR 64680-81-2-2-1-3/IR 00A115"
N/A,IR 64680-81-2-2-1-3/IR 73720-36-3-3-1,IR 64680-81-2-2-1-3,404,in standardized format,"IR 64680#IR 64680-81#IR 64680-81-2#IR 64680-81-2-2#IR 64680-81-2-2-1#IR 64680-81-2-2-1-3",IR 00A115,405,"IR ^00A115	;unexpected space is found#IR 00A115	;string pattern not recognized #",N/A
N/A,IR 64680-81-2-2-1-3/IR 00A117,IR 64680-81-2-2-1-3,406,in standardized format,"IR 64680#IR 64680-81#IR 64680-81-2#IR 64680-81-2-2#IR 64680-81-2-2-1#IR 64680-81-2-2-1-3",IR 73720-36-3-3-1,407,in standardized format,"IR 73720#IR 73720-36#IR 73720-36-3#IR 73720-36-3-3#IR 73720-36-3-3-1
IR 64680-81-2-2-1-3/IR 00A117"
N/A,IR 65450-173-2-1-1-3-3/IR 01A111,IR 64680-81-2-2-1-3,408,in standardized format,"IR 64680#IR 64680-81#IR 64680-81-2#IR 64680-81-2-2#IR 64680-81-2-2-1#IR 64680-81-2-2-1-3",IR 00A117,409,"IR ^00A117	;unexpected space is found#IR 00A117	;string pattern not recognized #",N/A
N/A,IR 65450-173-2-1-1-3-3/IR 01N223,IR 65450-173-2-1-1-3-3,410,in standardized format,"IR 65450#IR 65450-173#IR 65450-173-2#IR 65450-173-2-1#IR 65450-173-2-1-1#IR 65450-173-2-1-1-3#IR 65450-173-2-1-1-3-3",IR 01A111,411,"IR ^01A111	;unexpected space is found#IR 01A111	;string pattern not recognized #",N/A
N/A,IR 65450-173-2-1-1-3-3/IR 02N200,IR 65450-173-2-1-1-3-3,412,in standardized format,"IR 65450#IR 65450-173#IR 65450-173-2#IR 65450-173-2-1#IR 65450-173-2-1-1#IR 65450-173-2-1-1-3#IR 65450-173-2-1-1-3-3",IR 01N223,413,"IR ^01N223	;unexpected space is found#IR 01N223	;string pattern not recognized #",N/A
N/A,IR 65450-173-2-1-1-3-3/IR 02N211,IR 65450-173-2-1-1-3-3,414,in standardized format,"IR 65450#IR 65450-173#IR 65450-173-2#IR 65450-173-2-1#IR 65450-173-2-1-1#IR 65450-173-2-1-1-3#IR 65450-173-2-1-1-3-3",IR 02N200,415,"IR ^02N200	;unexpected space is found#IR 02N200	;string pattern not recognized #",N/A
N/A,IR 65482-4-136-2-2-B/IR 02A201,IR 65450-173-2-1-1-3-3,416,in standardized format,"IR 65450#IR 65450-173#IR 65450-173-2#IR 65450-173-2-1#IR 65450-173-2-1-1#IR 65450-173-2-1-1-3#IR 65450-173-2-1-1-3-3",IR 02N211,417,"IR ^02N211	;unexpected space is found#IR 02N211	;string pattern not recognized #",N/A
N/A,IR 65482-4-136-2-2-B/IR 75862-206-2-8-3-B-B-B,IR 65482-4-136-2-2-B,418,in standardized format,"IR 65482#IR 65482-4#IR 65482-4-136#IR 65482-4-136-2#IR 65482-4-136-2-2#IR 65482-4-136-2-2-B",IR 02A201,419,"IR ^02A201	;unexpected space is found#IR 02A201	;string pattern not recognized #",N/A
N/A,IR 65482-4-136-2-2-B/IRRI 146,IR 65482-4-136-2-2-B,420,in standardized format,"IR 65482#IR 65482-4#IR 65482-4-136#IR 65482-4-136-2#IR 65482-4-136-2-2#IR 65482-4-136-2-2-B",IR 75862-206-2-8-3-B-B-B,421,in standardized format,"IR 75862#IR 75862-206#IR 75862-206-2#IR 75862-206-2-8#IR 75862-206-2-8-3#IR 75862-206-2-8-3-B#IR 75862-206-2-8-3-B-B#IR 75862-206-2-8-3-B-B-B
IR 65482-4-136-2-2-B/IRRI 146"
N/A,IR 65482-4-136-2-2-B/IRRI 143,IR 65482-4-136-2-2-B,422,in standardized format,"IR 65482#IR 65482-4#IR 65482-4-136#IR 65482-4-136-2#IR 65482-4-136-2-2#IR 65482-4-136-2-2-B",IRRI 146,423,in standardized format,"IRRI 146
IR 65482-4-136-2-2-B/IRRI 143"
N/A,IR 00A103/IR 03A477,IR 65482-4-136-2-2-B,424,in standardized format,"IR 65482#IR 65482-4#IR 65482-4-136#IR 65482-4-136-2#IR 65482-4-136-2-2#IR 65482-4-136-2-2-B",IRRI 143,425,in standardized format,"IRRI 143
IR 00A103/IR 03A477"
N/A,IR 00A103/IR 04A213,IR 00A103,426,"IR ^00A103	;unexpected space is found#IR 00A103	;string pattern not recognized #",N/A,IR 03A477,427,"IR ^03A477	;unexpected space is found#IR 03A477	;string pattern not recognized #",N/A
N/A,IR 00A103/IR 03A550,IR 00A103,428,"IR ^00A103	;unexpected space is found#IR 00A103	;string pattern not recognized #",N/A,IR 04A213,429,"IR ^04A213	;unexpected space is found#IR 04A213	;string pattern not recognized #",N/A
N/A,IR 00A103/IR 03A568,IR 00A103,430,"IR ^00A103	;unexpected space is found#IR 00A103	;string pattern not recognized #",N/A,IR 03A550,431,"IR ^03A550	;unexpected space is found#IR 03A550	;string pattern not recognized #",N/A
N/A,IR 65620-192-3-3-3-2/IR 04A285,IR 00A103,432,"IR ^00A103	;unexpected space is found#IR 00A103	;string pattern not recognized #",N/A,IR 03A568,433,"IR ^03A568	;unexpected space is found#IR 03A568	;string pattern not recognized #",N/A
N/A,IR 65620-192-3-3-3-2/IRRI 154,IR 65620-192-3-3-3-2,434,in standardized format,"IR 65620#IR 65620-192#IR 65620-192-3#IR 65620-192-3-3#IR 65620-192-3-3-3#IR 65620-192-3-3-3-2",IR 04A285,435,"IR ^04A285	;unexpected space is found#IR 04A285	;string pattern not recognized #",N/A
N/A,IR 65620-192-3-3-3-2/IR 04A427,IR 65620-192-3-3-3-2,436,in standardized format,"IR 65620#IR 65620-192#IR 65620-192-3#IR 65620-192-3-3#IR 65620-192-3-3-3#IR 65620-192-3-3-3-2",IRRI 154,437,in standardized format,"IRRI 154
IR 65620-192-3-3-3-2/IR 04A427"
N/A,IR 65620-192-3-3-3-2/IR 05A117,IR 65620-192-3-3-3-2,438,in standardized format,"IR 65620#IR 65620-192#IR 65620-192-3#IR 65620-192-3-3#IR 65620-192-3-3-3#IR 65620-192-3-3-3-2",IR 04A427,439,"IR ^04A427	;unexpected space is found#IR 04A427	;string pattern not recognized #",N/A
N/A,IR 67966-44-2-3-2/IR 05A125,IR 65620-192-3-3-3-2,440,in standardized format,"IR 65620#IR 65620-192#IR 65620-192-3#IR 65620-192-3-3#IR 65620-192-3-3-3#IR 65620-192-3-3-3-2",IR 05A117,441,"IR ^05A117	;unexpected space is found#IR 05A117	;string pattern not recognized #",N/A
N/A,IR 67966-44-2-3-2/IR 05N128,IR 67966-44-2-3-2,442,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3#IR 67966-44-2-3-2",IR 05A125,443,"IR ^05A125	;unexpected space is found#IR 05A125	;string pattern not recognized #",N/A
N/A,IR 67966-44-2-3-2/IR 05N160,IR 67966-44-2-3-2,444,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3#IR 67966-44-2-3-2",IR 05N128,445,"IR ^05N128	;unexpected space is found#IR 05N128	;string pattern not recognized #",N/A
N/A,IR 67966-44-2-3-2/IR 05N170,IR 67966-44-2-3-2,446,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3#IR 67966-44-2-3-2",IR 05N160,447,"IR ^05N160	;unexpected space is found#IR 05N160	;string pattern not recognized #",N/A
N/A,IR 68144-2B-2-2-3-1-166/IR 05N173,IR 67966-44-2-3-2,448,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3#IR 67966-44-2-3-2",IR 05N170,449,"IR ^05N170	;unexpected space is found#IR 05N170	;string pattern not recognized #",N/A
N/A,IR 68144-2B-2-2-3-1-166/IR 05N181,IR 68144-2B-2-2-3-1-166,450,in standardized format,"IR 68144#IR 68144-2B#IR 68144-2B-2#IR 68144-2B-2-2#IR 68144-2B-2-2-3#IR 68144-2B-2-2-3-1#IR 68144-2B-2-2-3-1-166",IR 05N173,451,"IR ^05N173	;unexpected space is found#IR 05N173	;string pattern not recognized #",N/A
N/A,IR 68144-2B-2-2-3-1-166/IR 05N204,IR 68144-2B-2-2-3-1-166,452,in standardized format,"IR 68144#IR 68144-2B#IR 68144-2B-2#IR 68144-2B-2-2#IR 68144-2B-2-2-3#IR 68144-2B-2-2-3-1#IR 68144-2B-2-2-3-1-166",IR 05N181,453,"IR ^05N181	;unexpected space is found#IR 05N181	;string pattern not recognized #",N/A
N/A,IR 68144-2B-2-2-3-1-166/IR 06M138,IR 68144-2B-2-2-3-1-166,454,in standardized format,"IR 68144#IR 68144-2B#IR 68144-2B-2#IR 68144-2B-2-2#IR 68144-2B-2-2-3#IR 68144-2B-2-2-3-1#IR 68144-2B-2-2-3-1-166",IR 05N204,455,"IR ^05N204	;unexpected space is found#IR 05N204	;string pattern not recognized #",N/A
N/A,KALI AUS/IR 06M139,IR 68144-2B-2-2-3-1-166,456,in standardized format,"IR 68144#IR 68144-2B#IR 68144-2B-2#IR 68144-2B-2-2#IR 68144-2B-2-2-3#IR 68144-2B-2-2-3-1#IR 68144-2B-2-2-3-1-166",IR 06M138,457,"IR ^06M138	;unexpected space is found#IR 06M138	;string pattern not recognized #",N/A
N/A,KALI AUS/IR 06M146,KALI AUS,458,in standardized format,"KALI AUS",IR 06M139,459,"IR ^06M139	;unexpected space is found#IR 06M139	;string pattern not recognized #",N/A
N/A,KALI AUS/IR 06N156,KALI AUS,460,in standardized format,"KALI AUS",IR 06M146,461,"IR ^06M146	;unexpected space is found#IR 06M146	;string pattern not recognized #",N/A
N/A,KALI AUS/JORYEONGBYEO,KALI AUS,462,in standardized format,"KALI AUS",IR 06N156,463,"IR ^06N156	;unexpected space is found#IR 06N156	;string pattern not recognized #",N/A
N/A,IR10C145/IR 49830-7-1-2-3,KALI AUS,464,in standardized format,"KALI AUS",JORYEONGBYEO,465,in standardized format,"JORYEONGBYEO
IR10C145/IR 49830-7-1-2-3"
N/A,IR10C145/IR 70181-32-PMI 1-1-5-1,IR10C145,466,in standardized format,"IR10C145",IR 49830-7-1-2-3,467,in standardized format,"IR 49830#IR 49830-7#IR 49830-7-1#IR 49830-7-1-2#IR 49830-7-1-2-3
IR10C145/IR 70181-32-PMI 1-1-5-1"
N/A,IR10C145/IR 05F102,IR10C145,468,in standardized format,"IR10C145",IR 70181-32-PMI 1-1-5-1,469,in standardized format,"IR 70181#IR 70181-32#IR 70181-32-PMI 1#IR 70181-32-PMI 1-1#IR 70181-32-PMI 1-1-5#IR 70181-32-PMI 1-1-5-1
IR10C145/IR 05F102"
N/A,IR10C146/IR 09F120,IR10C145,470,in standardized format,"IR10C145",IR 05F102,471,"IR ^05F102	;unexpected space is found#IR 05F102	;string pattern not recognized #",N/A
N/A,IR10C146/IR 09F128,IR10C146,472,in standardized format,"IR10C146",IR 09F120,473,"IR ^09F120	;unexpected space is found#IR 09F120	;string pattern not recognized #",N/A
N/A,IR10C146/IRRI 149,IR10C146,474,in standardized format,"IR10C146",IR 09F128,475,"IR ^09F128	;unexpected space is found#IR 09F128	;string pattern not recognized #",N/A
N/A,IR10C146/IR 07F287,IR10C146,476,in standardized format,"IR10C146",IRRI 149,477,in standardized format,"IRRI 149
IR10C146/IR 07F287"
N/A,IR10C168/IR 09F146,IR10C146,478,in standardized format,"IR10C146",IR 07F287,479,"IR ^07F287	;unexpected space is found#IR 07F287	;string pattern not recognized #",N/A
N/A,IR10C168/IR 09F154,IR10C168,480,in standardized format,"IR10C168",IR 09F146,481,"IR ^09F146	;unexpected space is found#IR 09F146	;string pattern not recognized #",N/A
N/A,IR10C168/IR 09F230,IR10C168,482,in standardized format,"IR10C168",IR 09F154,483,"IR ^09F154	;unexpected space is found#IR 09F154	;string pattern not recognized #",N/A
N/A,IR10C168/IR 09F226,IR10C168,484,in standardized format,"IR10C168",IR 09F230,485,"IR ^09F230	;unexpected space is found#IR 09F230	;string pattern not recognized #",N/A
N/A,IR10C171/IR 09F237,IR10C168,486,in standardized format,"IR10C168",IR 09F226,487,"IR ^09F226	;unexpected space is found#IR 09F226	;string pattern not recognized #",N/A
N/A,IR10C171/IR 09F238,IR10C171,488,in standardized format,"IR10C171",IR 09F237,489,"IR ^09F237	;unexpected space is found#IR 09F237	;string pattern not recognized #",N/A
N/A,IR10C171/IR 07F290,IR10C171,490,in standardized format,"IR10C171",IR 09F238,491,"IR ^09F238	;unexpected space is found#IR 09F238	;string pattern not recognized #",N/A
N/A,IR10C171/IR 07F291,IR10C171,492,in standardized format,"IR10C171",IR 07F290,493,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
