YEAR ,Cross location (ICIS LOCID),CROSS   NO,,FEMALE PARENT,, MALE PARENT ,,REMARKS
,,PR35942,,IR58025A,,IR72,,
,,PR35943,,IR58025A,,PSB Rc30,,
,,PR35944,,IR58025A,,IR65620-192-3-3-3-2,,
,,PR35945,,IR58025A,,IR73008-136-2-2-3,,
,,PR35946,,IR58025A,,MS 11,,
,,PR35947,,IR58025A,,MS 7,,
,,PR35948,,IR58025A,,PR27938-B-5-12,,
,,PR35949,,IR58025A,,BRB 223-2-2-1R,,
,,PR35950,,IR58025A,,IR51078-33-2-1-1-3R,,
,,PR35951,,IR58025A,,AR 32-19-3-4,,
,,PR35952,,IR58025A,,PJ 19,,
,,PR35953,,IR58025A,,BASMATI 446-1,,
,,PR35954,,IR68888A,,PR26610-1-3-2,,
,,PR35955,,IR68888A,,IR71604-4-1-4-1-7-10-2-1-3,,
,,PR35956,,IR68888A,,IR72,,
,,PR35957,,IR68888A,,IR72870-19-2-2-3,,
,,PR35958,,IR68888A,,PJ 15,,
,,PR35959,,IR68888A,,IR67406,,
,,PR35960,,IR68888A,,PSB Rc14,,
,,PR35961,,IR68888A,,PSB Rc58,,
,,PR35962,,IR68888A,,PSB Rc88,,
,,PR35963,,IR68897A,,PR26610-1-3-2,,
,,PR35964,,IR68888A,,PSB Rc28,,
,,PR35965,,IR68888A,,IR62161,,
,,PR35966,,IR68888A,,IR69726-54-3-1R,,
,,PR35967,,IR68888A,,PSB Rc6,,
,,PR35968,,IR68888A,,AR 32-19-3-3,,
,,PR35969,,IR68888A,,PR33213-1,,
,,PR35970,,IR68897A,,PSB Rc18,,
,,PR35971,,IR68897A,,IR72875-94-3-3-2,,
,,PR35972,,IR68897A,,PR29880-15-18,,
,,PR35973,,IR68897A,,PR31568(1)-1,,
,,PR35974,,IR68897A,,IR72164-348-6-2-2-2,,
,,PR35975,,IR68897A,,IR71676-90-2-2,,
,,PR35976,,IR68897A,,IR72889-69-2-2-2,,
,,PR35977,,IR68897A,,PSB Rc30,,
,,PR35978,,IR68897A,,IR60921-24-3-2-2-3-3-3,,
,,PR35979,,IR68897A,,IR71701-28-1-4,,
,,PR35980,,IR68897A,,PJ 15,,
,,PR35981,,PR9 A,,MS 8,,
,,PR35982,,IR68897A,,PSB Rc58,,
,,PR35983,,IR68897A,,MATATAG 3,,
,,PR35984,,IR68897A,,IR72,,
,,PR35985,,IR68897A,,IR50360-121-3-3-3R,,
,,PR35986,,IR68897A,,MS 11,,
,,PR35987,,IR68897A,,MS 7,,
,,PR35988,,IR68897A,,PR25348-1,,
,,PR35989,,IR68897A,,PR26008-8B,,
,,PR35990,,IR68897A,,PR27938-B-5-12,,
,,PR35991,,IR68897A,,PR292-2-2-1-1,,
,,PR35992,,IR68897A,,IR50360-121-3-3-3R,,
,,PR35993,,IR68897A,,BRB 223-2-2-2-1R,,
,,PR35994,,IR68897A,,IR65-483-14-14-13R,,
,,PR35995,,IR68897A,,IR59682-132-1-1-2R,,
,,PR35996,,IR68897A,,IR68077-37-2-2-2-3-2R,,
,,PR35997,,IR68897A,,7 16256,,
,,PR35998,,IR68897A,,AR 32-19-3-4,,
,,PR35999,,IR68897A,,PSB Rc14,,
,,PR36000,,IR68897A,,PR25602-B2-3-1,,
,,PR36001,,IR68897A,,PJ 19,,
,,PR36002,,IR68897A,,PJ 4,,
,,PR36003,,IR68897A,,PR33253-B-B,,
,,PR36004,,IR68897A,,IR65483-14-14-13R,,
,,PR36005,,IR68897A,,IR1866-3R-1-2-1B,,
,,PR36006,,ANDEC 20-1-7 S,,NCTH P-15,,
,,PR36007,,ANDEC 39-2-9 S,,PJ 15,,
,,PR36008,,ANDEC 39-2-9 S,,MS 11,,
,,PR36009,,ANDEC B-16,,PJ 16,,
,,PR36010,,ANDEC B-16,,PR27451-3R,,
,,PR36011,,ANDEC B-16,,BG 90-2,,
,,PR36012,,IR68897A,,PSB Rc54,,
,,PR36013,,IR68897A,,PSB Rc66,,
,,PR36014,,IR68897A,,PSB Rc78,,
,,PR36015,,IR68897A,,PSB Rc80,,
,,PR36016,,IR68897A,,PSB Rc82,,
,,PR36017,,IR68897A,,PSB Rc110,,
,,PR36018,,IR68897A,,PSB Rc90,,
,,PR36019,,IR68897A,,IR63352-AC-202,,
,,PR36020,,IR68897A,,PR34202,,
,,PR36021,,IR68897A,,FR-4(A),,
,,PR36022,,IR68897A,,PR30256-JAP-1-1M,,
,,PR36023,,IR68897A,,IR75282-10-3-3-2,,
,,PR36024,,IR68897A,,PR26841-B-5,,
,,PR36025,,IR68897A,,AR 32-19-3-3,,
,,PR36026,,IR68897A,,PR3038-21-2,,
,,PR36027,,IR68897A,,IR75288-144-1-3,,
,,PR36028,,PR2 A,,PSB Rc82,,
,,PR36029,,PR2 A,,PJ 25(fs),,
,,PR36030,,PR2 A,,PJG 6,,
,,PR36031,,PR2 A,,PR29880-15-18,,
,,PR36032,,PR2 A,,PSB Rc50,,
,,PR36033,,PR2 A,,PSB Rc90,,
,,PR36034,,PR2 A,,PR302440-AC0 V2,,
,,PR36035,,PR2 A,,AR 32-4-58-2,,
,,PR36036,,PR2 A,,AR 32-19-3-1,,
,,PR36037,,PR2 A,,PR34202,,
,,PR36038,,PR2 A,,PR32102-6-1-3B,,
,,PR36039,,PR2 A,,C6070-B-4-1-1-1-1,,
,,PR36040,,PR3 A,,PSB Rc28,,
,,PR36041,,PR3 A,,PSB Rc82,,
,,PR36042,,PR3 A,,PJ3-5,,
,,PR36043,,PR3 A,,PR29880-15-18,,
,,PR36044,,PR3 A,,AR 32-19-3-4,,
,,PR36045,,PR3 A,,PR34202,,
,,PR36046,,PR3 A,,C6053-B-1-2-1-2,,
,,PR36047,,IR58025A,,PR34592,,
,,PR36048,,IR58025A,,PR34593,,
,,PR36049,,IR58025A,,AR 32-19-3-3,,
,,PR36050,,BO A,,PJ20,,
,,PR36051,,BO A,,PR26873-PJ21-2-1,,
,,PR36052,,BO A,,PR31565-AC-97-151,,
,,PR36053,,BO A,,AR 32-4-58-2,,
,,PR36054,,BO A,,AR 32-19-3-4,,
,,PR36055,,BO A,,PR34202,,
,,PR36056,,BO A,,IR74282-16-1-2-3-2,,
,,PR36057,,IR72079A,,PSB Rc74,,
,,PR36058,,IR72079A,,PR30244-AC-V19,,
,,PR36059,,IR72079A,,PR28524-AC97-55,,
,,PR36060,,IR72079A,,PR30244-AC-V2,,
,,PR36061,,IR72079A,,AR 32-4-58-2,,
,,PR36062,,IR72079A,,IR71676-90-2-2,,
,,PR36063,,IR72079A,,C6053-B-1-2-1-2,,
,,PR36064,,IR72079A,,AR32-19-3-3,,
,,PR36065,,IR72079A,,IR73718-23-2-1-3,,
,,PR36066,,IR72079A,,IR53649-3B-12-2,,
,,PR36067,,IR68888A,,PR31565-AC-97-151,,
,,PR36068,,IR68888A,,AR32-4-58-2,,
,,PR36069,,IR68888A,,PR34202,,
,,PR36070,,IR68888A,,PR31559-AR32-4-5-2,,
,,PR36071,,IR68902A,,PSB Rc18,,
,,PR36072,,IR68902A,,PSB Rc28,,
,,PR36073,,IR68902A,,PSB Rc64,,
,,PR36074,,IR68902A,,PJ18,,
,,PR36075,,IR68902A,,PSB Rc28,,
,,PR36076,,IR68902A,,PSB Rc30,,
,,PR36077,,IR68902A,,PR30521-C27-7,,
,,PR36078,,IR68902A,,AR32-19-3-4,,
,,PR36079,,IR68902A,,PR34592,,
,,PR36080,,IR68902A,,PR34593,,
,,PR36081,,IR68902A,,PR34202,,
,,PR36082,,IR68902A,,PR29768-11-1-2-1-M25,,
,,PR36083,,IR68902A,,C6053-B-1-2-1-2,,
,,PR36084,,IR68902A,,C6070-B-4-1-1-1-1,,
,,PR36085,,IR68902A,,IR75282-10-3-3-2,,
,,PR36086,,IR68902A,,IR71146-97-1-2-1-3,,
,,PR36087,,IR68902A,,PR3038-21-2,,
,,PR36088,,IR68902A,,PSB Rc16,,
,,PR36089,,IR68896A,,PSB Rc82,,
,,PR36090,,ANDEC 30-1-5,,PR29768-11-1-2-1-M25,,
,,PR36091,,ANDEC 30-1-5,,PR30521-C27-7,,
,,PR36092,,ANDEC 30-1-5,,PR34592,,
,,PR36093,,ANDEC 30-1-5,,IR62161 R,,
,,PR36094,,ANDEC 30-1-5,,GYT 96,,
,,PR36095,,ANDEC 30-1-5,,IR72164-348-6-2-2-2,,
,,PR36096,,IR68897A,,IR72,,
,,PR36097,,IR68897A,,C6070-B-4-1-1-1-1,,
,,PR36098,,IR68897A,,IR75288-144-1-3,,
,,PR36099,,IR68897A,,IR57099-2B-10-2-3-1-2,,
,,PR36100,,IR68897A,,IR55259-B-3-3-2-2-1,,
,,PR36101,,IR68897A,,PR25997-B-B-B,,
,,PR36102,,IR68897A,,PR30244-AC-V19,,
,,PR36103,,IR68897A,,IR62761-20 (PR),,
,,PR36104,,IR68897A,,IR36 IL,,
,,PR36105,,IR68897A,,IR66 IL,,
,,PR36106,,IR68897A,,PSB Rc28 IL,,
,,PR36107,,PR2 A,,IR71121-35-1-1-1-2 (G),,
,,PR36108,,PR2 A,,PR30244-AC-V2,,
,,PR36109,,PR2 A,,IR59418-7B-28-2,,
,,PR36110,,PR2 A,,PR29880-15-18,,
,,PR36111,,PR3 A,,IR72,,
,,PR36112,,PR3 A,,IR75282-10-3-3-2,,
,,PR36113,,PR3 A,,PR30876-15-1-1,,
,,PR36114,,PR3 A,,PSB Rc18 IL,,
,,PR36115,,PR3 A,,IR71991-3R-2-6-1,,
,,PR36116,,IR58025A,,IR75282-10-3-3-2,,
,,PR36117,,IR58025A,,PR29881-62-27-2,,
,,PR36118,,IR58025A,,IR57098-2B-10-2-3-1-2,,
,,PR36119,,IR58025A,,IR74600-26-1-3-2,,
,,PR36120,,IR58025A,,IR65,,
,,PR36121,,IR58025A,,IR62761-20 (PR),,
,,PR36122,,BO A,,PR30244-AC-V2,,
,,PR36123,,BO A,,IR59418-7B-28-2,,
,,PR36124,,BO A,,IR71991-3R-2-6-1,,
,,PR36125,,BO A,,PR28524-AC97-55,,
,,PR36126,,IR72079A,,PR28377-AC97-54,,
,,PR36127,,IR68888A,,C6053-B-2-1-2,,
,,PR36128,,IR68888A,,IR75282-10-3-3-2,,
,,PR36129,,IR68888A,,IR65,,
,,PR36130,,IR68888A,,IR70849-8-2-B-1-B-1 (G),,
,,PR36131,,IR68888A,,PR28377-AC97-54,,
,,PR36132,,IR68888A,,IR62761-20 (PR),,
,,PR36133,,IR68902A,,C6070-B-4-1-1-1-1,,
,,PR36134,,IR68902A,,IR74284-10-1-2-3-2,,
,,PR36135,,IR68902A,,IR75288-144-1-3,,
,,PR36136,,PR3 A,,IR71146-97-1-2-1-3,,
,,PR36137,,PR4 A,,PR30521-C27-7,,
,,PR36138,,PR4 A,,PR34202,,
,,PR36139,,PR4 A,,PSB Rc16,,
,,PR36140,,IR58025A,,PR30521-C27-7,,
,,PR36141,,BO A,,IR74282-16-1-2-3-2,,
,,PR36142,,PR3 A,,IR72868-10-1-3-2,,
,,PR36143,,PR3 A,,C6053-B-1-2-1-2,,
,,PR36144,,PR3 A,,PR73885-1-4-3-1-6,,
,,PR36145,,PR3 A,,PSB Rc66,,
,,PR36146,,PR3 A,,IR72868-10-1-3-2,,
,,PR36147,,PR3 A,,PR26610-B-10-1,,
,,PR36148,,PR3 A,,IR65620-192-3-3-3-2,,
,,PR36149,,PR3 A,,WAT 307-WAS B-24-8-4-4-1,,
,,PR36150,,PR3 A,,IR50360-121-3-3-3R,,
,,PR36151,,PR3 A,,PR25348-1,,
,,PR36152,,PR3 A,,PR27938-B-5-12,,
,,PR36153,,PR3 A,,IR61621R,,
,,PR36154,,PR3 A,,IR63870R,,
,,PR36155,,PR3 A,,IR50360-121-3-3-3R,,
,,PR36156,,PR3 A,,BRB 223-2-2-2-3-2R,,
,,PR36157,,PR3 A,,IR68077-37-2-2-2-3-2R,,
,,PR36158,,PR3 A,,IR69726-54-3-1R,,
,,PR36159,,PR3 A,,PSB Rc82,,
,,PR36160,,PR3 A,,PSB Rc6,,
,,PR36161,,PR3 A,,AR32-19-3-4,,
,,PR36162,,PR3 A,,AR32-4-33-1,,
,,PR36163,,PR3 A,,IR71701-28-1-4,,
,,PR36164,,PR3 A,,PJ4,,
,,PR36165,,PR3 A,,PR28377-AC-97-55,,
,,PR36166,,ANDEC 39-2-6,,PSB Rc8 IL,,
,,PR36167,,ANDEC 39-2-6,,PSB Rc30 IL,,
,,PR36168,,ANDEC 39-2-2,,IR74286-55-2-3-2-3,,
,,PR36169,,ANDEC 7-6-10,,RB 10,,
,,PR36170,,ANDEC 39-2-2,,PR26841-8-5,,
,,PR36171,,ANDEC 7-6-2,,IR7972-37-SPN-1-8-1-2-2,,
,,PR36172,,TGMS 17,,C6531-60-1 (G),,
,,PR36173,,ANDEC 39-2-2,,PR25464-2-4-2-3-2-1-1-4-1,,
,,PR36174,,ANDEC 7-6-2,,IR74600-26-1-3-2 (A),,
,,PR36175,,ANDEC 7-6-2,,PSB Rc82 IL,,
,,PR36176,,IR68897 A,,C7006-PR-B5-197-3-1-3,,
,,PR36177,,IR68897 A,,C7006-PR-B5-169-2-1,,
,,PR36178,,IR68897 A,,PSB Rc12,,
,,PR36179,,IR68897 A,,IR72860-80-3-3-3,,
,,PR36180,,IR68897 A,,CT9506-12-10-1M,,
,,PR36181,,IR68897 A,,MS10,,
,,PR36182,,IR68897 A,,IR65622-151-1-2-2-2R,,
,,PR36183,,IR68897 A,,PSB Rc82,,
,,PR36184,,IR68897 A,,VND 93-19,,
,,PR36185,,IR68897 A,,1599 (GXEA),,
,,PR36186,,IR68897 A,,PR34517,,
,,PR36187,,IR68896 A,,PJ3-5,,
,,PR36188,,PR2 A,,NSIC Rc112,,
,,PR36189,,PR2 A,,PR65622-151-1-2-2-2R,,
,,PR36190,,PR2 A,,R2-6,,
,,PR36191,,PR2 A,,IR65515-47-2-1-19R,,
,,PR36192,,PR2 A,,GY2,,
,,PR36193,,PR2 A,,MS10,,
,,PR36194,,PR2 A,,PSB Rc82,,
,,PR36195,,PR3 A,,C7006-PR-B6-43,,
,,PR36196,,PR3 A,,C7006-PR-B6-30-3-1,,
,,PR36197,,PR3 A,,PR30521-C27-7,,
,,PR36198,,PR3 A,,R2-6,,
,,PR36199,,PR3 A,,IR65515-47-2-1-1-R,,
,,PR36200,,PR3 A,,CT9506-12-10-1-M-3R-M,,
,,PR36201,,PR3 A,,PSB Rc6,,
,,PR36202,,PR3 A,,1571,,
,,PR36203,,PR3 A,,IR841-85(A),,
,,PR36204,,PR3A,,IR72875-94-3-3-2,,
,,PR36205,,PR3A,,PR32102,,
,,PR36206,,PR3A,,PR33998,,
,,PR36207,,PR3A,,PR31400-18-3-5,,
,,PR36208,,PR3A,,NSIC RC 108,,
,,PR36209,,PR4A,,R2-6,,
,,PR36210,,PR4A,,CT9506-12-10-1M-3P-M,,
,,PR36211,,PR4A,,CAN 8502,,
,,PR36212,,PR4A,,PR208-194-1-2-2-2R,,
,,PR36213,,PR5A,,CAN 8502,,
,,PR36214,,IR69627A,,PR30521-C27-7,,
,,PR36215,,IR69627A,,IR65,,
,,PR36216,,IR69627A,,Matatag3,,
,,PR36217,,IR69627A,,Angelica,,
,,PR36218,,IR68888A,,C7006-PR-B5-3-1-1,,
,,PR36219,,IR68888A,,IR72164-348-6-2-2-2,,
,,PR36220,,IR68888A,,CAN 8502,,
,,PR36221,,IR68888A,,PSB RC 82,,
,,PR36222,,PR9A,,IR65622-151-1-2-2-2-2R,,
,,PR36223,,PR9A,,1571 (GxE8),,
,,PR36224,,IR69626A,,CAN 8502,,
,,PR36225,,IR69626A,,PR208-194-1-2-2-2R,,
,,PR36226,,PR9A,,Matatag 3,,
,,PR36227,,PR9A,,NSIC 108,,
,,PR36228,,IR69625A,,C7006-PR-B5-42-2-2-1,,
,,PR36229,,IR69625A,,PSB RC 82,,
,,PR36230,,IR58025A,,PSB RC 68,,
,,PR36231,,IR58025A,,PSB RC 18,,
,,PR36232,,IR58025A,,Angelica,,
,,PR36233,,IR72079A,,IR72875-94-3-3-2,,
,,PR36234,,IR72079A,,Matatag 3,,
,,PR36235,,IR68902A,,IR70849-18-2-B-B-B-2,,
,,PR36236,,IR68902A,,NSIC RC 90,,
,,PR36237,,IR69625A,,1571 (GxE8),,
,,PR36249,,IR66738-118-1,,Gerome,,
,,PR36250,,PJ2,,GUAM,,
,,PR36251,,PR2A,,C7006-PR-B5-2-2-2,,
,,PR36252,,PR2A,,PR28669-2B7,,
,,PR36253,,PR2A,,PSB RC 18,,
,,PR36254,,PR2A,,1599,,
,,PR36255,,PR2A,,PR30025-99-AC(WSAL 1094),,
,,PR36256,,PR3A,,C7006-PR-B5-3-1-2,,
,,PR36257,,PR3A,,C6053-B-2-1-2,,
,,PR36258,,PR3A,,PR26134-10-1-1-3-1-2-2,,
,,PR36259,,PR3A,,IR65,,
,,PR36260,,PR9A,,C7006-PR-B5-17-1-3,,
,,PR36261,,PR15A,,C7006-PR-B6-71,,
,,PR36262,,PR15A,,IR72164-348-6-2-2-2,,
,,PR36263,,PR15A,,C6053-B-2-1-2,,
,,PR36264,,IR68902A,,C7006-PR-B6-71,,
,,PR36265,,IR68902A,,IR72164-348-6-2-2-2,,
,,PR36266,,IR68897A,,IR65515-47-2-1-19R,,
,,PR36267,,IR58025A,,C7006-PR-B5-2-2-1,,
,,PR36268,,IR58025A,,C7006-PR-B5-6-12-1,,
,,PR36269,,IR58025A,,IR72659-75KN-1-B-B-2(A),,
,,PR36270,,IR58025A,,PSB RC 18,,
,,PR36271,,IR58025A,,PSB RC 28,,
,,PR36272,,IR72079A,,IR59606-119-3R,,
,,PR36273,,PR2A,,IR73007,,
,,PR36274,,PR3A,,IR73007,,
,,PR36275,,PR3A,,IR69702A/5-2-3-3R,,
,,PR36276,,IR68902A,,IR73002,,
,,PR36277,,PR2A,,IR69702-5-2-3-3R,,
,,PR36278,,IR58025A,,PR3005-99-ACWSAL-1096,,
,,PR36279,,IR72079A,,C7006-PR-B5-25-1,,
,,PR36280,,IR58025A,,Matatag 5,,
,,PR36281,,IR5825A,,C6537-60-1,,
,,PR36282,,IR6888A,,IR63870R-IR5-2,,
,,PR36283,,PR3A,,PSB RC 56,,
,,PR36284,,PJ2A,,GEROME,,
,,PR36285,,BR114,,,,
,,PR36286,,IR68897A,,IR 72(1),,
,,PR36287,,IR68897A,,IR72 (2),,
,,PR36288,,IR68897A,,PR34577(1),,
,,PR36289,,IR68897A,,PR34577 (2),,
,,PR36290,,IR68897A,,Matatag (1),,
,,PR36291,,IR68897A,,Matatag (2),,
,,PR36292,,PR2A/R-6 (1),,,,
,,PR36293,,PR2A/R-6 (2),,,,
,,PR36294,,PR3A/R2-6,,,,
,,PR36295,,PR3A,,PR31400-18-3-5 (1),,
,,PR36296,,PR3A,,PR31400-18-3-5 (2),,
,,PR36297,,PR3A,,PR31400-18-3-5(3),,
,,PR36298,,IR688897A,,C7006-PR-B5-3-1-1,,
,,PR36299,,IR688888A,,IR72164-348-6-2,,
,,PR36300,,IR68888A,,PSBRC 82 (1),,
,,PR36301,,IR68888A,,PSB RC 82 (2),,
,,PR36302,,IR68888A,,PSB RC 82 (3),,
,,PR36303,,PR9A,,1571 (GxE) (1),,
,,PR36304,,PR9A,,1571 (GxE) (2),,
,,PR36305,,IR69626A,,CAN 8502(1),,
,,PR36306,,IR69626A,,CAN8502(2),,
,,PR36307,,IR69626A,,PR208-194-1-2-2-2 (1),,
,,PR36308,,IR69626A,,PR208-194-1-2-2-2 (2),,
,,PR36309,,PR9A,,Matatag 3 (1),,
,,PR36310,,PR9A,,Matatag 3 (2),,
,,PR36311,,PR9A,,NSIC 108 (1),,
,,PR36312,,PR9A,,NSIC 108 (2),,
,,PR36313,,IR68902A,,NSIC RC 90 (1),,
,,PR36314,,IR68902A,,NSIC RC 90 (2),,
,,PR36315,,PR2A,,PSB RC 90,,
,,PR36316,,PR2A,,IR73002-TN 1534,,
,,PR36317,,PR2A,,PSB RC 80,,
,,PR36318,,PR2A,,PJ 3-5,,
,,PR36319,,PR2A,,IR62127-55-1-2-2-3,,
,,PR36320,,PR2A,,IR65622-151-1-2-2-2,,
,,PR36321,,PR2A,,Li 681-3,,
,,PR36322,,PR2A,,PR29255-2,,
,,PR36323,,PR3A,,PSB RC 82,,
,,PR36324,,PR3A,,PSB RC 90,,
,,PR36325,,PR3A,,IR69702-5-2-3-3R,,
,,PR36326,,PR3A,,IR716045-4-4-1-4-4-4-2-2-2R,,
,,PR36327,,PR3A,,PR292-2-2-1-1,,
,,PR36328,,PR3A,,IR71866-3R-1-2-1B,,
,,PR36329,,PR3A,,PJ 3-5,,
,,PR36330,,PR3A,,IR59544-110-2-3-2,,
,,PR36331,,IR58025A,,PR35035-3-2,,
,,PR36332,,PR4A,,IR73007-TN-1008,,
,,PR36333,,PR4A,,IR72164-TN-1734,,
,,PR36334,,PR4A,,PJ 3-5,,
,,PR36335,,PR5A,,PSB RC82,,
,,PR36336,,PR5A,,PSB RC 90,,
,,PR36337,,PR5A,,IR71604-4-4-1-4-4-4-2-2-2R,,
,,PR36338,,PR5A,,IR73008-136-2-2-3,,
,,PR36339,,PR5A,,IR68440-36-2-2-3,,
,,PR36340,,PR9A,,PSB RC 82,,
,,PR36341,,PR9A,,PSB RC 90,,
,,PR36342,,PR9A,,Angelica,,
,,PR36343,,PR9A,,PR30244-AC-9-1,,
,,PR36344,,PR9A,,IR73007-TN-1008,,
,,PR36345,,PR9A,,IR69702-5-5-3-3R,,
,,PR36346,,PR9A,,PSB RC 80,,
,,PR36347,,PR9A,,IR71866-3R-1-2-1B,,
,,PR36348,,PR9A,,PJ 3-5,,
,,PR36349,,PR9A,,AR 32-19-3-3,,
,,PR36350,,PR9A,,PR27566-1-3-1,,
,,PR36351,,PR9A,,IR68440-36-2-2-3,,
,,PR36352,,PR15A,,IR72164-348-6-2-2-2,,
,,PR36353,,PR15A,,Angelica,,
,,PR36354,,PR15A,,IR62037-93-1-3-1-1R,,
,,PR36355,,PR15A,,IR72868-10-1-3-2,,
,,PR36356,,PR15A,,IR71866-3R-1-2-1B,,
,,PR36357,,PR15A,,PJ 3-5,,
,,PR36358,,PR15A,,R68440-36-2-2-3,,
,,PR36359,,IR58025A,,PSB RC 58,,
,,PR36360,,IR58025A,,PSB RC 100,,
,,PR36361,,IR58025A,,IR73012-TN-1016,,
,,PR36362,,IR68888A,,PSB RC 28,,
,,PR36363,,IR68888A,,PSB RC 82,,
,,PR36364,,IR68902A,,PSB RC 56,,
,,PR36365,,IR68902A,,IR69702-5-2-3-3,,
,,PR36366,,IR68902A,,IR62037-93-1-3-1-1R,,
,,PR36367,,IR68902A,,Matatag 3,,
,,PR36368,,IR68902A,,IR62127-55-1-2-2-3,,
,,PR36369,,IR68902A,,IR72860-80-3-3-3,,
,,PR36370,,IR68902A,,PR24968-2-4-1-1,,
,,PR36371,,IR68902A,,PSB RC 28,,
,,PR36372,,IR68902A,,PR27566-1-5-1,,
,,PR36373,,IR68897A,,IR69702-5-5-3-3,,
,,PR36374,,IR68897A,,GV 47,,
,,PR36375,,IR58025A,,PR34201-1B-3-1-1,,
,,PR36376,,IR58025A,,PR36248-HY-1-1-7,,
,,PR36377,,IR68897A,,PR292-2-2-1-1,,
,,PR36378,,IR68897A,,IR65622-151-1-2-2-2R,,
,,PR36379,,IR68897A,,PR24968-2-4-1-1,,
,,PR36380,,IR68897A,,PSB RC 28 ,,
,,PR36381,,IR72079A,,IR2909-TN-1004,,
,,PR36382,,IR72079A,,IR62037-93-1-3-1-1R,,
,,PR36383,,IR72079A,,GV 47,,
,,PR36384,,IR72079A,,PSB RC 56,,
,,PR36385,,IR72079A,,PR292-2-2-1-1,,
,,PR36386,,IR72079A,,IR71866-3R-1-2-1R,,
,,PR36387,,IR72079A,,PJ 3-5,,
,,PR36388,,IR72079A,,IR62127-55-1-2-2-3,,
,,PR36389,,IR72079A,,IR71701-28-1-4,,
,,PR36390,,IR72079A,,IR72860-80-3-3-3,,
,,PR36391,,IR72079A,,Li 681-3,,
,,PR36392,,IR72079A,,PSB RC 28,,
,,PR36393,,IR72079A,,PR27566-1-5-1,,
,,PR36394,,IR72079A,,IR5178-33-2-1-1-1-3R,,
,,PR36395,,IR72079A,,PR29255-2,,
,,PR36396,,IR69626A,,PSB RC 82,,
,,PR36397,,IR68897A,,C7006-PR-B5-197-3-1-3 (1),,
,,PR36398,,IR68897A,,C7006-PR-B5-197-3-1-3 (2),,
,,PR36399,,PR2A,,73002,,
,,PR36400,,IR68897A,,PSB RC 56,,
,,PR36401,,PR2A,,Li 681-3,,
,,PR36402,,PR2A,,WAD 450-247-3-1-8-37,,
,,PR36403,,PR3A,,PSB RC 82,,
,,PR36404,,PR3A,,PSB RC 90,,
,,PR36405,,PR3A,,IR69702-5-2-3-3R,,
,,PR36406,,PR3A,,IR71604-4-4-1-4-4-4-2-3-2,,
,,PR36407,,PR3A,,IR7280-80-3-3-3,,
,,PR36408,,PR4A,,PJ 3-5,,
,,PR36409,,PR5A,,PSB RC 82,,
,,PR36410,,PR5A,,73008-136-2-2-3,,
,,PR36411,,PR9A,,PSB RC 80,,
,,PR36412,,PR15A,,IR71866-3R-1-2-1B,,
,,PR36413,,PR15A,,PSB RC 80,,
,,PR36414,,PR15A,,IR68440-36-2-2-3,,
,,PR36415,,IR58025A,,PSB RC 100,,
,,PR36416,,IR68888A,,PSB RC 56,,
,,PR36417,,IR68902A,,IR62127-55-1-2-2-3,,
,,PR36418,,IR68902A,,PR27556-1-5-1,,
,,PR36419,,IR68897A,,IR34686R,,
,,PR36420,,IR68897A,,PJ 23,,
,,PR36421,,IR72079A,,PR29222-1-1,,
,,PR36422,,PR2A,,IR74,,
,,PR36423,,IR72079A,,IR62127-151-1-2-2-3,,
,,PR36424,,IR72079A,,Hua Xing Xian 74,,
,,PR36425,,IR72079A,,IR65622-151-1-2-2-2,,
,,PR36426,,IR72079A,,PJ 19,,
,,PR36427,,IR72079A,,Li 681-3,,
,,PR36428,,IR72079A,,PR26134-10-1-1-3-1-2,,
,,PR36429,,IR72079A,,WAB 450-24-3-1-B37,,
,,PR36430,,IR69626A,,PSB RC 82,,
,,PR36431,,PR2A,,PSB RC 18,,
,,PR36432,,PR2A,,C1599,,
,,PR36433,,PR2A,,PR30025-99-AC(WSAL 1094),,
,,PR36434,,PR15A,,C7006-PRB6-71,,
,,PR36435,,IR58025A,,PR36248-HY-2-1-4,,
,,PR36436,,IR58025A,,PR36244-HY-1-8-3,,
,,PR36437,,IR72079A,,IR73007,,
,,PR36438,,IR79156A,,PSB RC 52,,
,,PR36439,,IR79156A,,PSB RC 66,,
,,PR36440,,IR79156A,,PSB RC 74,,
,,PR36441,,IR79156A,,PSB RC 80,,
,,PR36442,,IR79156A,,IR76124 TN 1094,,
,,PR36443,,IR79156A,,IR62037-93-1-3-1-1R,,
,,PR36444,,IR79156A,,PSB RC 28,,
,,PR36445,,IR79156A,,IR72868-10-1-3-2,,
,,PR36446,,IR79156A,,IR62037-93-1-3-1R,,
,,PR36447,,IR79156A,,PR28095-18,,
,,PR36448,,IR79156A,,PJ 23,,
,,PR36449,,IR79156A,,IR71866-3R-1-2-1B,,
,,PR36450,,IR79156A,,IR68440-36-2-2-3,,
,,PR36451,,IR79156A,,IR72889-69-2-2-2,,
,,PR36452,,IR79156A,,IR65622-151-1-2-2-2,,
,,PR36453,,IR79156A,,EDR-013-0700,,
,,PR36454,,IR79156A,,IR64,,
,,PR36455,,IR79156A,,IR68440-36-2-2-3,,
,,PR36456,,IR79128A,,PSBRC 54,,
,,PR36457,,IR79128A,,PR30244-AC-9-1,,
,,PR36458,,IR79128A,,IR62037-93-1-3-1-1R,,
